video_path,threads,microseconds
videos/small_video.mp4,1,552795|562023|603106
videos/small_video.mp4,2,545484|550509|544849
videos/small_video.mp4,3,558537|547025|603373
videos/small_video.mp4,4,554610|589989|633736
videos/small_video.mp4,5,608608|624622|551478
videos/small_video.mp4,6,547577|555152|617437
videos/small_video.mp4,7,569378|545757|576837
videos/small_video.mp4,8,555885|562864|553327
videos/small_video.mp4,9,583721|549309|587677
videos/small_video.mp4,10,559758|571844|557890
videos/small_video.mp4,11,577325|563380|551329
videos/small_video.mp4,12,570433|589956|649613
videos/small_video.mp4,13,627917|603312|564790
videos/small_video.mp4,14,557279|585088|576628
videos/small_video.mp4,15,568109|568300|563254
videos/small_video.mp4,16,561341|564219|563817
videos/small_video.mp4,17,548366|549597|563198
videos/small_video.mp4,18,550851|570992|566105
videos/small_video.mp4,19,561212|562090|564615
videos/small_video.mp4,20,575281|564484|598132
videos/small_video.mp4,21,613947|609794|618525
videos/small_video.mp4,22,556485|550719|545551
videos/small_video.mp4,23,558563|554784|562771
videos/small_video.mp4,24,575724|577460|550572
videos/small_video.mp4,25,554128|551503|549959
videos/small_video.mp4,26,556922|565327|570797
videos/small_video.mp4,27,559148|558676|564598
videos/small_video.mp4,28,541751|563948|638323
videos/small_video.mp4,29,699106|719143|676813
videos/small_video.mp4,30,666486|675864|672865
videos/small_video.mp4,31,665931|678546|681202
videos/small_video.mp4,32,628892|571455|580029
videos/small_video.mp4,33,643191|646861|672927
videos/small_video.mp4,34,644125|686369|679787
videos/large_video.mp4,1,5843819|4816905|5281030
videos/large_video.mp4,2,4974220|4958842|5281391
videos/large_video.mp4,3,4953812|4973312|5291784
videos/large_video.mp4,4,5192592|5059944|5003527
videos/large_video.mp4,5,5147009|5291587|5112244
videos/large_video.mp4,6,5085900|5261370|5455860
videos/large_video.mp4,7,5150972|5212466|5308844
videos/large_video.mp4,8,5148088|5176806|5198583
videos/large_video.mp4,9,5344097|5098238|5259070
videos/large_video.mp4,10,5128531|5411743|5649845
videos/large_video.mp4,11,4966514|4935979|5217168
videos/large_video.mp4,12,5173238|5064697|5583436
videos/large_video.mp4,13,5010042|5203382|5148573
videos/large_video.mp4,14,5186793|5224831|5204030
videos/large_video.mp4,15,5207179|5460332|5238894
videos/large_video.mp4,16,5359124|5004299|5395813
videos/large_video.mp4,17,5561202|5439127|5375638
videos/large_video.mp4,18,5530567|5496183|5405156
videos/large_video.mp4,19,5712333|5655429|5595444
videos/large_video.mp4,20,5503363|5558064|6038863
videos/large_video.mp4,21,5820612|5838017|5666369
videos/large_video.mp4,22,5760842|5515424|5507228
videos/large_video.mp4,23,5809043|5627988|5790153
videos/large_video.mp4,24,5518692|5795891|5716818
videos/large_video.mp4,25,5723367|5792597|5783511
videos/large_video.mp4,26,5956071|5847680|5655411
videos/large_video.mp4,27,5731308|5695632|5805135
videos/large_video.mp4,28,5792682|5882568|5930995
videos/large_video.mp4,29,5739994|5751947|5812425
videos/large_video.mp4,30,5750315|5991580|5843934
videos/large_video.mp4,31,5900472|5900924|5862316
videos/large_video.mp4,32,5842068|5930353|5864945
videos/large_video.mp4,33,5856041|5831786|5833255
videos/large_video.mp4,34,6142797|5899019|6001006
