video_path,threads,microseconds
videos/small_video.mp4,1,821432|1031242|875172
videos/small_video.mp4,2,1246463|831116|1182169
videos/small_video.mp4,3,1370969|1019036|1533436
videos/small_video.mp4,4,1016896|1359344|1448108
videos/small_video.mp4,5,1045764|1502004|1623647
videos/small_video.mp4,6,753507|570089|560992
videos/small_video.mp4,7,553773|551001|574685
videos/small_video.mp4,8,556656|616235|574258
videos/small_video.mp4,9,573579|560802|586554
videos/small_video.mp4,10,564884|584256|553434
videos/small_video.mp4,11,563524|552663|614907
videos/small_video.mp4,12,582139|573827|567968
videos/small_video.mp4,13,602076|585943|556257
videos/small_video.mp4,14,562552|574131|576312
videos/small_video.mp4,15,566192|580683|562781
videos/small_video.mp4,16,571291|599867|608392
videos/small_video.mp4,17,584438|607511|584224
videos/small_video.mp4,18,576142|583029|553242
videos/small_video.mp4,19,572555|555968|567982
videos/small_video.mp4,20,568820|574437|582782
videos/small_video.mp4,21,585071|605520|580580
videos/small_video.mp4,22,595327|569570|597849
videos/small_video.mp4,23,589209|566230|564659
videos/small_video.mp4,24,554717|558539|578451
videos/small_video.mp4,25,556919|561944|564582
videos/small_video.mp4,26,559825|556692|561756
videos/small_video.mp4,27,576115|561272|569449
videos/small_video.mp4,28,564260|575111|561265
videos/small_video.mp4,29,561829|565725|573603
videos/small_video.mp4,30,572293|591881|593370
videos/small_video.mp4,31,585042|596741|648593
videos/small_video.mp4,32,672409|672871|674522
videos/small_video.mp4,33,674042|661187|664909
videos/small_video.mp4,34,607686|570950|570163
videos/large_video.mp4,1,4933757|5010452|4996820
videos/large_video.mp4,2,4961352|4836787|5290589
videos/large_video.mp4,3,5430632|5499418|5542267
videos/large_video.mp4,4,5845045|6036404|6462042
videos/large_video.mp4,5,6480943|6705341|7409075
videos/large_video.mp4,6,8496758|11406324|10162345
videos/large_video.mp4,7,5158750|5271752|5260006
videos/large_video.mp4,8,5176076|5371439|5038498
videos/large_video.mp4,9,5048413|5174223|5341639
videos/large_video.mp4,10,5001584|5086912|5146684
videos/large_video.mp4,11,5243187|5434912|5555491
videos/large_video.mp4,12,5404329|5338659|5193457
videos/large_video.mp4,13,5097308|5298469|5009067
videos/large_video.mp4,14,5366424|5244822|5401356
videos/large_video.mp4,15,5452625|5991377|5247928
videos/large_video.mp4,16,5080429|5340700|5100892
videos/large_video.mp4,17,5530122|5275004|5340160
videos/large_video.mp4,18,5466624|5213841|5019571
videos/large_video.mp4,19,5404799|5658325|5576577
videos/large_video.mp4,20,5607666|5429199|5469554
videos/large_video.mp4,21,6188824|9605144|5245975
videos/large_video.mp4,22,5375720|5160670|4993582
videos/large_video.mp4,23,5164116|5033433|5071715
videos/large_video.mp4,24,5027919|4890557|4889401
videos/large_video.mp4,25,5365029|5233248|5511447
videos/large_video.mp4,26,5216942|5461407|5104562
videos/large_video.mp4,27,5081902|5357667|5543146
videos/large_video.mp4,28,5474544|5448767|5582892
videos/large_video.mp4,29,6090548|9786935|5261385
videos/large_video.mp4,30,5312015|5266666|5390244
videos/large_video.mp4,31,5289935|5243956|5038441
videos/large_video.mp4,32,5280605|5047511|5021643
videos/large_video.mp4,33,5331279|5406574|5157562
videos/large_video.mp4,34,5190544|5171745|5168942
