video_path,threads,microseconds
videos/small_video.mp4,1,5886907|4156848|4747473
videos/small_video.mp4,2,2145027|2162559|2137871
videos/small_video.mp4,3,1516566|1543073|1446503
videos/small_video.mp4,4,1178267|1173027|1219753
videos/small_video.mp4,5,1014668|976828|1000133
videos/small_video.mp4,6,817591|983321|835511
videos/small_video.mp4,7,1101472|744683|896976
videos/small_video.mp4,8,901436|758618|977368
videos/small_video.mp4,9,741734|811142|688017
videos/small_video.mp4,10,697859|788957|726841
videos/small_video.mp4,11,684347|741733|711639
videos/small_video.mp4,12,699386|681462|725525
videos/small_video.mp4,13,682017|698472|718950
videos/small_video.mp4,14,812583|774386|727497
videos/small_video.mp4,15,734379|958468|795646
videos/small_video.mp4,16,780378|721323|635888
videos/small_video.mp4,17,755222|726485|738561
videos/small_video.mp4,18,764730|781952|814876
videos/small_video.mp4,19,785872|655910|750100
videos/small_video.mp4,20,720451|746525|697551
videos/small_video.mp4,21,861553|818421|808222
videos/small_video.mp4,22,671381|831865|732986
videos/small_video.mp4,23,828454|713989|825106
videos/small_video.mp4,24,793317|845193|699804
videos/small_video.mp4,25,808036|722059|834097
videos/small_video.mp4,26,685951|701524|905593
videos/small_video.mp4,27,707752|740032|724694
videos/small_video.mp4,28,713026|773167|862589
videos/small_video.mp4,29,733525|691927|933579
videos/small_video.mp4,30,856708|895966|723523
videos/small_video.mp4,31,1287430|1161099|1281050
videos/small_video.mp4,32,728945|1318957|745147
videos/small_video.mp4,33,791705|1210397|707861
videos/small_video.mp4,34,994728|1344448|1014885
videos/large_video.mp4,1,39597250|41046588|38310873
videos/large_video.mp4,2,19982724|19765474|25551847
videos/large_video.mp4,3,18533771|20877092|13931606
videos/large_video.mp4,4,17451395|17809699|16176024
videos/large_video.mp4,5,8583224|14866409|8609979
videos/large_video.mp4,6,9519842|9370469|10418920
videos/large_video.mp4,7,7516800|9816300|8442621
videos/large_video.mp4,8,6955892|6754859|9129613
videos/large_video.mp4,9,6676295|7826754|5837362
videos/large_video.mp4,10,7412739|7369297|6109619
videos/large_video.mp4,11,5744229|5532511|6430975
videos/large_video.mp4,12,5966835|6143780|6327149
videos/large_video.mp4,13,5755892|5832636|5801295
videos/large_video.mp4,14,5822365|5449806|5602534
videos/large_video.mp4,15,5409714|5755903|5610016
videos/large_video.mp4,16,5791782|5605760|5722703
videos/large_video.mp4,17,5860292|5514323|5787554
videos/large_video.mp4,18,5818167|5783608|5786458
videos/large_video.mp4,19,5821926|5680223|5904449
videos/large_video.mp4,20,5911458|5851595|5800343
videos/large_video.mp4,21,5799051|5828456|5769973
videos/large_video.mp4,22,5722741|6016464|5757942
videos/large_video.mp4,23,6124647|6043693|5718724
videos/large_video.mp4,24,6053476|6311133|6125492
videos/large_video.mp4,25,6216826|6151436|6074426
videos/large_video.mp4,26,6176483|6084019|6198380
videos/large_video.mp4,27,6476046|6390204|6178074
videos/large_video.mp4,28,6085650|6213557|6184780
videos/large_video.mp4,29,6344550|6416018|6284502
videos/large_video.mp4,30,6583502|6630912|6588421
videos/large_video.mp4,31,8156087|8485424|7475751
videos/large_video.mp4,32,9159641|8669528|8035708
videos/large_video.mp4,33,10001635|9654519|9287716
videos/large_video.mp4,34,10794194|10523851|9140565
