video_path,threads,microseconds
videos/small_video.mp4,1,4461674|4267705|4221467
videos/small_video.mp4,2,2127167|2145588|2215433
videos/small_video.mp4,3,1460087|1435302|1473339
videos/small_video.mp4,4,1173886|1120683|1158074
videos/small_video.mp4,5,963691|932115|967565
videos/small_video.mp4,6,838372|763720|889179
videos/small_video.mp4,7,702398|673824|726534
videos/small_video.mp4,8,665375|707848|637984
videos/small_video.mp4,9,657851|665781|616055
videos/small_video.mp4,10,635899|638307|688019
videos/small_video.mp4,11,657662|626933|617855
videos/small_video.mp4,12,624403|697018|657303
videos/small_video.mp4,13,676078|663983|602820
videos/small_video.mp4,14,643683|640812|645400
videos/small_video.mp4,15,679754|686381|632214
videos/small_video.mp4,16,666453|612716|669127
videos/small_video.mp4,17,644364|668316|633086
videos/small_video.mp4,18,626506|693543|629694
videos/small_video.mp4,19,656679|654583|652172
videos/small_video.mp4,20,636373|626543|658384
videos/small_video.mp4,21,632588|638147|724158
videos/small_video.mp4,22,623039|691759|630731
videos/small_video.mp4,23,633172|643865|651296
videos/small_video.mp4,24,633845|760223|668423
videos/small_video.mp4,25,651715|640153|655925
videos/small_video.mp4,26,660652|655349|662015
videos/small_video.mp4,27,661587|622823|635784
videos/small_video.mp4,28,637950|698140|744154
videos/small_video.mp4,29,614609|647875|654806
videos/small_video.mp4,30,719402|682687|643575
videos/small_video.mp4,31,713194|697062|639380
videos/small_video.mp4,32,671936|633874|677824
videos/small_video.mp4,33,634914|716176|637464
videos/small_video.mp4,34,704129|709412|750068
videos/large_video.mp4,1,38874578|39576233|38516146
videos/large_video.mp4,2,19785632|20021617|19742238
videos/large_video.mp4,3,13659942|14285326|13946349
videos/large_video.mp4,4,10297599|12195636|10517161
videos/large_video.mp4,5,8798392|9618318|8535302
videos/large_video.mp4,6,7103130|7135416|7513026
videos/large_video.mp4,7,6626572|6821340|7130461
videos/large_video.mp4,8,6223453|5833136|5994319
videos/large_video.mp4,9,5809006|5387070|5674485
videos/large_video.mp4,10,5330430|5169286|5415876
videos/large_video.mp4,11,5772562|5624400|5127240
videos/large_video.mp4,12,5593397|5567380|5754486
videos/large_video.mp4,13,5503641|5313659|5343926
videos/large_video.mp4,14,5044757|5501112|5251619
videos/large_video.mp4,15,5280001|5429968|5453415
videos/large_video.mp4,16,5589318|5487575|5341998
videos/large_video.mp4,17,5483490|5330427|5612013
videos/large_video.mp4,18,5481778|5095103|5534317
videos/large_video.mp4,19,5366898|5301859|5619279
videos/large_video.mp4,20,5679833|5586148|5135431
videos/large_video.mp4,21,5447224|5642500|5491431
videos/large_video.mp4,22,5499520|5555918|5574502
videos/large_video.mp4,23,5489718|5559565|5300342
videos/large_video.mp4,24,5552138|5547376|5532890
videos/large_video.mp4,25,5600249|5401461|5370920
videos/large_video.mp4,26,5479037|5591373|5234919
videos/large_video.mp4,27,5433728|5261212|5468886
videos/large_video.mp4,28,5320491|5550517|5461480
videos/large_video.mp4,29,5580312|5374278|5344072
videos/large_video.mp4,30,5252774|5541803|5325913
videos/large_video.mp4,31,5265997|5633723|5571724
videos/large_video.mp4,32,5547480|5588777|5500109
videos/large_video.mp4,33,5338230|5471223|5426178
videos/large_video.mp4,34,5278861|5089534|5592217
