video_path,threads,microseconds
videos/small_video.mp4,1,4493293|4291586|4536657
videos/small_video.mp4,2,4078519|4087613|4110803
videos/small_video.mp4,3,2791880|2744892|2713709
videos/small_video.mp4,4,2080613|2074706|2069775
videos/small_video.mp4,5,1682711|1682731|1669891
videos/small_video.mp4,6,1389084|1395060|1415949
videos/small_video.mp4,7,1227986|1206813|1210001
videos/small_video.mp4,8,1067647|1073581|1069087
videos/small_video.mp4,9,969062|972102|960823
videos/small_video.mp4,10,878765|875155|887091
videos/small_video.mp4,11,796269|802742|800446
videos/small_video.mp4,12,748907|744160|742129
videos/small_video.mp4,13,738268|699678|744855
videos/small_video.mp4,14,648558|660650|660122
videos/small_video.mp4,15,633902|718882|620907
videos/small_video.mp4,16,703761|706680|776846
videos/small_video.mp4,17,734775|691520|725081
videos/small_video.mp4,18,656516|660924|650080
videos/small_video.mp4,19,642745|718158|635160
videos/small_video.mp4,20,700913|735616|729472
videos/small_video.mp4,21,697723|729103|731920
videos/small_video.mp4,22,657918|642869|657463
videos/small_video.mp4,23,633997|764861|659277
videos/small_video.mp4,24,688575|704419|721294
videos/small_video.mp4,25,799495|649946|701716
videos/small_video.mp4,26,645670|690974|671831
videos/small_video.mp4,27,660376|767092|689914
videos/small_video.mp4,28,702839|705117|729746
videos/small_video.mp4,29,708563|666132|691880
videos/small_video.mp4,30,716334|732643|703494
videos/small_video.mp4,31,812223|735711|762131
videos/small_video.mp4,32,870153|915913|878849
videos/small_video.mp4,33,909361|928687|892933
videos/small_video.mp4,34,922791|949562|931291
videos/large_video.mp4,1,39698085|41104674|39928452
videos/large_video.mp4,2,22079844|21721112|21773574
videos/large_video.mp4,3,24446825|24924837|24442640
videos/large_video.mp4,4,18561203|18728194|18518234
videos/large_video.mp4,5,14725693|15060915|14692259
videos/large_video.mp4,6,12433650|12482564|12354540
videos/large_video.mp4,7,10658929|10642786|10699346
videos/large_video.mp4,8,9383843|9327787|9402183
videos/large_video.mp4,9,8494121|8475544|8335836
videos/large_video.mp4,10,7659042|7581324|7699934
videos/large_video.mp4,11,7024030|7010194|7006927
videos/large_video.mp4,12,6454393|6435519|6477946
videos/large_video.mp4,13,5908542|5980194|5982388
videos/large_video.mp4,14,5639755|5722350|5630119
videos/large_video.mp4,15,5670672|5218976|5570748
videos/large_video.mp4,16,5010962|4969564|4996638
videos/large_video.mp4,17,5180394|5568046|5224974
videos/large_video.mp4,18,5546971|5560139|5537851
videos/large_video.mp4,19,5560933|5127775|5637225
videos/large_video.mp4,20,5145083|5048754|5036808
videos/large_video.mp4,21,5196115|5865620|5124213
videos/large_video.mp4,22,5680979|5500546|5493886
videos/large_video.mp4,23,5528893|5087262|5670092
videos/large_video.mp4,24,5355191|5361855|5203475
videos/large_video.mp4,25,4998602|5531040|5613290
videos/large_video.mp4,26,5986415|5495023|5657458
videos/large_video.mp4,27,5563562|5428622|5901435
videos/large_video.mp4,28,5313032|5275292|5284516
videos/large_video.mp4,29,5315563|5639255|5247966
videos/large_video.mp4,30,5564673|5845692|5934859
videos/large_video.mp4,31,6133316|5897030|5980991
videos/large_video.mp4,32,7988049|7897495|7798332
videos/large_video.mp4,33,7516220|8060190|7580279
videos/large_video.mp4,34,7903064|8138436|7884936
