video_path,threads,microseconds
videos/small_video.mp4,1,808690|761659|839842
videos/small_video.mp4,2,629611|574664|590090
videos/small_video.mp4,3,602490|690771|572313
videos/small_video.mp4,4,675809|658825|693270
videos/small_video.mp4,5,730577|583288|690356
videos/small_video.mp4,6,594190|587509|591969
videos/small_video.mp4,7,580202|683132|602826
videos/small_video.mp4,8,693851|661503|685483
videos/small_video.mp4,9,703390|603773|740102
videos/small_video.mp4,10,571080|558809|576968
videos/small_video.mp4,11,591200|665965|568011
videos/small_video.mp4,12,693702|649442|646549
videos/small_video.mp4,13,657937|561910|723543
videos/small_video.mp4,14,634627|566563|590168
videos/small_video.mp4,15,552317|670466|559157
videos/small_video.mp4,16,692886|649161|681978
videos/small_video.mp4,17,654893|584405|689986
videos/small_video.mp4,18,568578|578801|577356
videos/small_video.mp4,19,574968|712226|603383
videos/small_video.mp4,20,696617|666268|717068
videos/small_video.mp4,21,659752|591648|691380
videos/small_video.mp4,22,603447|566211|623666
videos/small_video.mp4,23,590860|693548|623768
videos/small_video.mp4,24,695869|734952|684397
videos/small_video.mp4,25,762442|682624|710634
videos/small_video.mp4,26,588901|685455|629239
videos/small_video.mp4,27,654285|662617|625477
videos/small_video.mp4,28,685836|704683|656542
videos/small_video.mp4,29,757135|694765|861315
videos/small_video.mp4,30,701761|777265|749363
videos/small_video.mp4,31,1352328|1331091|1334270
videos/small_video.mp4,32,1330020|1372298|1417268
videos/small_video.mp4,33,1381647|1342951|1345179
videos/small_video.mp4,34,1339118|1375579|1395758
videos/large_video.mp4,1,6445966|6927047|6487702
videos/large_video.mp4,2,5557937|5528072|5473448
videos/large_video.mp4,3,5526628|4702242|5464508
videos/large_video.mp4,4,4655443|4722291|4632343
videos/large_video.mp4,5,4696050|5430507|4727733
videos/large_video.mp4,6,5434056|5421528|5713030
videos/large_video.mp4,7,5435546|4740442|5459257
videos/large_video.mp4,8,4744705|4847106|4739685
videos/large_video.mp4,9,4719767|5463450|4746411
videos/large_video.mp4,10,5448836|5484487|5438978
videos/large_video.mp4,11,5460931|4804132|5417067
videos/large_video.mp4,12,4709887|4735647|4696136
videos/large_video.mp4,13,4884690|5465705|5110844
videos/large_video.mp4,14,5548184|5509408|5718788
videos/large_video.mp4,15,5449831|5094015|5478855
videos/large_video.mp4,16,4820635|4721657|4926193
videos/large_video.mp4,17,4972673|5599835|4910510
videos/large_video.mp4,18,5484742|5463594|5439309
videos/large_video.mp4,19,5486819|4891252|5481103
videos/large_video.mp4,20,5092883|5456826|5217597
videos/large_video.mp4,21,5604847|5519140|5460567
videos/large_video.mp4,22,5567914|6006168|5707520
videos/large_video.mp4,23,5782278|5797549|6054242
videos/large_video.mp4,24,6268549|10055291|6024299
videos/large_video.mp4,25,6061850|5814276|6204303
videos/large_video.mp4,26,10027444|9447304|11661544
videos/large_video.mp4,27,6989259|6638614|7225089
videos/large_video.mp4,28,12102166|11773637|11863009
videos/large_video.mp4,29,10202205|11491279|8750036
videos/large_video.mp4,30,6363467|6322231|6085538
videos/large_video.mp4,31,11746044|12445225|11355662
videos/large_video.mp4,32,12309527|12096094|12431322
videos/large_video.mp4,33,12784629|11341429|11768966
videos/large_video.mp4,34,11607841|15600881|18050657
