video_path,threads,microseconds
videos/small_video.mp4,1,557113|650070|567533
videos/small_video.mp4,2,553447|595211|573872
videos/small_video.mp4,3,556050|562192|602096
videos/small_video.mp4,4,573344|563631|558274
videos/small_video.mp4,5,567508|568897|575007
videos/small_video.mp4,6,576226|608091|578212
videos/small_video.mp4,7,579317|617841|575494
videos/small_video.mp4,8,621712|585925|565144
videos/small_video.mp4,9,575471|611620|577805
videos/small_video.mp4,10,565603|566517|588865
videos/small_video.mp4,11,585534|576951|577073
videos/small_video.mp4,12,576905|556584|563386
videos/small_video.mp4,13,566359|573486|559756
videos/small_video.mp4,14,642618|592675|586221
videos/small_video.mp4,15,568921|575231|595388
videos/small_video.mp4,16,589763|565844|605372
videos/small_video.mp4,17,569939|602962|606309
videos/small_video.mp4,18,576991|583924|626979
videos/small_video.mp4,19,559956|562828|651683
videos/small_video.mp4,20,578186|569785|564345
videos/small_video.mp4,21,594021|608418|584300
videos/small_video.mp4,22,655721|573783|575555
videos/small_video.mp4,23,579317|571719|567403
videos/small_video.mp4,24,561653|573213|556774
videos/small_video.mp4,25,571617|566863|556418
videos/small_video.mp4,26,548986|562845|559721
videos/small_video.mp4,27,552365|550318|567538
videos/small_video.mp4,28,558701|555793|562766
videos/small_video.mp4,29,565604|556723|556955
videos/small_video.mp4,30,564985|563113|553939
videos/small_video.mp4,31,566806|568758|608783
videos/small_video.mp4,32,547826|561916|597461
videos/small_video.mp4,33,559952|548174|565136
videos/small_video.mp4,34,551946|564882|567178
videos/large_video.mp4,1,5234165|4860329|5008826
videos/large_video.mp4,2,4968112|4808472|4992993
videos/large_video.mp4,3,5020105|5090714|5385567
videos/large_video.mp4,4,5115044|5282707|5023231
videos/large_video.mp4,5,5066664|5163000|5366693
videos/large_video.mp4,6,5375707|5307985|5104206
videos/large_video.mp4,7,5465954|5082281|5243892
videos/large_video.mp4,8,5037505|5261699|5268995
videos/large_video.mp4,9,5212509|5252092|5378450
videos/large_video.mp4,10,5166116|5081683|5266564
videos/large_video.mp4,11,4954369|5142350|5089234
videos/large_video.mp4,12,5055785|5112076|4986558
videos/large_video.mp4,13,5116187|5015555|4970280
videos/large_video.mp4,14,5085193|5379674|5129535
videos/large_video.mp4,15,5036469|5214819|5350597
videos/large_video.mp4,16,5048008|4862678|5054278
videos/large_video.mp4,17,5098710|5123210|5372576
videos/large_video.mp4,18,5364691|5047032|5114805
videos/large_video.mp4,19,5120950|5214306|5189149
videos/large_video.mp4,20,5338914|5056754|5006361
videos/large_video.mp4,21,5621745|5305108|5240217
videos/large_video.mp4,22,5093078|5165716|5124986
videos/large_video.mp4,23,5122645|5122347|5087176
videos/large_video.mp4,24,4885901|5064188|5013170
videos/large_video.mp4,25,5076744|5036842|5114530
videos/large_video.mp4,26,5069798|5134532|5030123
videos/large_video.mp4,27,5271390|5141578|5094944
videos/large_video.mp4,28,5222720|4937363|4990124
videos/large_video.mp4,29,5120754|5066127|5080670
videos/large_video.mp4,30,5287020|5123247|5067332
videos/large_video.mp4,31,5283931|5154110|5244461
videos/large_video.mp4,32,5177407|5624005|5168060
videos/large_video.mp4,33,5230042|5064097|5024046
videos/large_video.mp4,34,5024240|4957835|5280469
