video_path,threads,microseconds
videos/small_video.mp4,1,4187457|4197560|4167727
videos/small_video.mp4,2,2200988|2155680|2114760
videos/small_video.mp4,3,1459610|1436958|1464022
videos/small_video.mp4,4,1224780|1086585|1149688
videos/small_video.mp4,5,896971|1065378|1093030
videos/small_video.mp4,6,870187|767844|770561
videos/small_video.mp4,7,697896|690681|715975
videos/small_video.mp4,8,646881|686517|654449
videos/small_video.mp4,9,667171|650134|620332
videos/small_video.mp4,10,633944|638076|643264
videos/small_video.mp4,11,636858|684478|676660
videos/small_video.mp4,12,618907|650744|603306
videos/small_video.mp4,13,616134|655771|630169
videos/small_video.mp4,14,629925|608391|664430
videos/small_video.mp4,15,614166|677191|633204
videos/small_video.mp4,16,639332|634260|615351
videos/small_video.mp4,17,648990|649203|660841
videos/small_video.mp4,18,640813|643788|638447
videos/small_video.mp4,19,628293|619207|609830
videos/small_video.mp4,20,610545|662489|635427
videos/small_video.mp4,21,644807|664970|616131
videos/small_video.mp4,22,622408|637444|638836
videos/small_video.mp4,23,699807|650442|639456
videos/small_video.mp4,24,643854|645463|642582
videos/small_video.mp4,25,601148|661043|691047
videos/small_video.mp4,26,631890|642542|647061
videos/small_video.mp4,27,638008|625825|645385
videos/small_video.mp4,28,645186|633247|642863
videos/small_video.mp4,29,642890|608755|657139
videos/small_video.mp4,30,706492|682928|642489
videos/small_video.mp4,31,641286|601982|624384
videos/small_video.mp4,32,652912|661718|649201
videos/small_video.mp4,33,720032|639301|691741
videos/small_video.mp4,34,631730|695066|638391
videos/large_video.mp4,1,38152712|38320064|38585019
videos/large_video.mp4,2,19457765|20145104|19519749
videos/large_video.mp4,3,13686529|13435364|13454504
videos/large_video.mp4,4,10846649|11907085|10684138
videos/large_video.mp4,5,9558215|9659698|9215294
videos/large_video.mp4,6,7678910|7387867|7453290
videos/large_video.mp4,7,6324067|7266706|6748906
videos/large_video.mp4,8,5614532|5864331|5894374
videos/large_video.mp4,9,5407699|5734121|5159290
videos/large_video.mp4,10,5072583|5306192|5401790
videos/large_video.mp4,11,5620830|5756791|5215191
videos/large_video.mp4,12,5361462|5389377|5191085
videos/large_video.mp4,13,5383757|5591678|5673275
videos/large_video.mp4,14,5107646|5440896|5653724
videos/large_video.mp4,15,5606704|5363591|5427201
videos/large_video.mp4,16,5626831|5607706|5532008
videos/large_video.mp4,17,5411913|5416872|5367352
videos/large_video.mp4,18,5508526|5409218|5491628
videos/large_video.mp4,19,5477636|5573702|5539399
videos/large_video.mp4,20,5460030|5417018|5347985
videos/large_video.mp4,21,5426765|5596516|5426245
videos/large_video.mp4,22,5573286|5532761|5560394
videos/large_video.mp4,23,5560325|5395589|5476199
videos/large_video.mp4,24,5308247|5358582|5370904
videos/large_video.mp4,25,5312899|5454201|5526361
videos/large_video.mp4,26,5217254|5364796|5320381
videos/large_video.mp4,27,5286319|5485945|5465386
videos/large_video.mp4,28,5418320|5468279|5471316
videos/large_video.mp4,29,5516980|5588226|5334778
videos/large_video.mp4,30,5655389|5663317|5410505
videos/large_video.mp4,31,5613978|5550697|5856690
videos/large_video.mp4,32,5631209|5337077|5483811
videos/large_video.mp4,33,5589624|5553994|5629060
videos/large_video.mp4,34,5431092|5309153|5556022
