video_path,threads,microseconds
videos/small_video.mp4,1,4148353|4249953|4245434
videos/small_video.mp4,2,2132754|2134972|2168171
videos/small_video.mp4,3,1522149|1458847|1498950
videos/small_video.mp4,4,1165550|1116007|1141580
videos/small_video.mp4,5,1561317|1414444|1451480
videos/small_video.mp4,6,857314|819763|1302313
videos/small_video.mp4,7,837870|802165|710520
videos/small_video.mp4,8,766453|1008042|720396
videos/small_video.mp4,9,716516|928609|710636
videos/small_video.mp4,10,760059|679804|764081
videos/small_video.mp4,11,661427|673323|758374
videos/small_video.mp4,12,711853|715192|705872
videos/small_video.mp4,13,676481|693250|679485
videos/small_video.mp4,14,683458|672710|647569
videos/small_video.mp4,15,648736|631651|707466
videos/small_video.mp4,16,646278|696702|683383
videos/small_video.mp4,17,695671|673941|718255
videos/small_video.mp4,18,672210|679877|692301
videos/small_video.mp4,19,658070|713511|639766
videos/small_video.mp4,20,698594|701375|694635
videos/small_video.mp4,21,700903|686154|694492
videos/small_video.mp4,22,735312|713350|721320
videos/small_video.mp4,23,690352|725198|709126
videos/small_video.mp4,24,788909|722914|714755
videos/small_video.mp4,25,689561|709529|674003
videos/small_video.mp4,26,694850|730897|716893
videos/small_video.mp4,27,721571|725273|691265
videos/small_video.mp4,28,745646|703623|708716
videos/small_video.mp4,29,735157|685538|685679
videos/small_video.mp4,30,705610|695462|686101
videos/small_video.mp4,31,717555|710387|733088
videos/small_video.mp4,32,729743|728525|696736
videos/small_video.mp4,33,725494|705316|761010
videos/small_video.mp4,34,756343|727545|837540
videos/large_video.mp4,1,38639190|38584915|38184756
videos/large_video.mp4,2,20222846|19871427|22682625
videos/large_video.mp4,3,15045647|14027632|13320901
videos/large_video.mp4,4,10957398|11205779|11449827
videos/large_video.mp4,5,13243331|14506605|13368583
videos/large_video.mp4,6,9055082|7679842|7141227
videos/large_video.mp4,7,7309308|10106102|7362010
videos/large_video.mp4,8,6183912|8445252|5932426
videos/large_video.mp4,9,5887930|5665607|6241943
videos/large_video.mp4,10,7188837|6267172|5405007
videos/large_video.mp4,11,6637375|6399147|5861570
videos/large_video.mp4,12,6060908|5609686|5755178
videos/large_video.mp4,13,5574311|5539090|5711197
videos/large_video.mp4,14,5492315|5524759|5455730
videos/large_video.mp4,15,5334842|5319602|5239005
videos/large_video.mp4,16,5465193|5501979|5318833
videos/large_video.mp4,17,5422441|5304421|5263072
videos/large_video.mp4,18,5440711|5365682|5388502
videos/large_video.mp4,19,5464324|5525334|5511921
videos/large_video.mp4,20,5564323|5401160|5321863
videos/large_video.mp4,21,5589850|5763389|5343194
videos/large_video.mp4,22,5489610|5625245|5487837
videos/large_video.mp4,23,5465623|5681204|5500926
videos/large_video.mp4,24,5623472|5438435|5670802
videos/large_video.mp4,25,5498727|5429085|5465463
videos/large_video.mp4,26,5585624|5548552|5455527
videos/large_video.mp4,27,5699387|5599964|5630438
videos/large_video.mp4,28,5516912|5586519|5492345
videos/large_video.mp4,29,5449597|5532173|5601242
videos/large_video.mp4,30,5662339|5712208|5674273
videos/large_video.mp4,31,5519088|5633074|5474663
videos/large_video.mp4,32,5682129|5549098|5672519
videos/large_video.mp4,33,5646738|5735762|5580236
videos/large_video.mp4,34,5633138|5838917|5476027
