video_path,threads,microseconds
videos/small_video.mp4,1,539345|562616|542135
videos/small_video.mp4,2,549968|558830|612023
videos/small_video.mp4,3,577689|579530|541049
videos/small_video.mp4,4,542513|588634|546782
videos/small_video.mp4,5,562648|564051|549603
videos/small_video.mp4,6,571651|556764|583713
videos/small_video.mp4,7,562096|567220|545766
videos/small_video.mp4,8,561867|557258|550693
videos/small_video.mp4,9,556768|556666|575920
videos/small_video.mp4,10,559036|586500|554888
videos/small_video.mp4,11,564025|579136|567339
videos/small_video.mp4,12,563263|574417|563076
videos/small_video.mp4,13,567460|575888|560736
videos/small_video.mp4,14,563154|543322|557973
videos/small_video.mp4,15,555380|549835|561019
videos/small_video.mp4,16,562233|565873|557789
videos/small_video.mp4,17,557616|556034|570311
videos/small_video.mp4,18,552886|572502|568264
videos/small_video.mp4,19,574625|565815|557729
videos/small_video.mp4,20,560900|547442|557634
videos/small_video.mp4,21,561684|552010|560519
videos/small_video.mp4,22,548485|552790|575030
videos/small_video.mp4,23,549082|559364|581420
videos/small_video.mp4,24,551829|558855|558322
videos/small_video.mp4,25,622043|594028|550782
videos/small_video.mp4,26,556693|545172|556662
videos/small_video.mp4,27,553291|550275|561950
videos/small_video.mp4,28,563409|560496|557565
videos/small_video.mp4,29,600342|554940|556489
videos/small_video.mp4,30,568819|556936|561283
videos/small_video.mp4,31,568852|625869|558858
videos/small_video.mp4,32,558131|555910|565910
videos/small_video.mp4,33,563846|559752|563473
videos/small_video.mp4,34,557926|559617|579095
videos/large_video.mp4,1,5228378|4865031|4963992
videos/large_video.mp4,2,5056048|5001876|5070037
videos/large_video.mp4,3,5125376|5379079|5505333
videos/large_video.mp4,4,5361867|5106506|4939711
videos/large_video.mp4,5,5178589|5324309|5223016
videos/large_video.mp4,6,5187602|5402467|5239690
videos/large_video.mp4,7,5283631|5283983|5257641
videos/large_video.mp4,8,5428393|5255884|5332322
videos/large_video.mp4,9,5413575|5403985|5521527
videos/large_video.mp4,10,5029586|5235799|5202083
videos/large_video.mp4,11,4992809|5016182|5253265
videos/large_video.mp4,12,5198387|5157415|5148061
videos/large_video.mp4,13,5042737|5276548|5137683
videos/large_video.mp4,14,5178393|5145006|5269227
videos/large_video.mp4,15,5267749|5261612|5198271
videos/large_video.mp4,16,4897466|4913643|5134199
videos/large_video.mp4,17,5268480|5252406|5287916
videos/large_video.mp4,18,5275687|5144298|5187125
videos/large_video.mp4,19,5413982|5241417|5500422
videos/large_video.mp4,20,5021983|5256818|5325196
videos/large_video.mp4,21,5301577|5236001|5128843
videos/large_video.mp4,22,5178658|5297134|5342695
videos/large_video.mp4,23,5173217|4999784|5107608
videos/large_video.mp4,24,5020994|5203556|5290435
videos/large_video.mp4,25,5128375|5183801|4991154
videos/large_video.mp4,26,5046960|5108366|5311292
videos/large_video.mp4,27,5338217|5294248|5507135
videos/large_video.mp4,28,5594905|5208562|4981051
videos/large_video.mp4,29,5345914|5235829|5098112
videos/large_video.mp4,30,4976178|5353769|4982070
videos/large_video.mp4,31,4944837|5315063|5168311
videos/large_video.mp4,32,5352356|5409931|5357997
videos/large_video.mp4,33,5176199|4933687|5130719
videos/large_video.mp4,34,5033122|5391396|4946668
