video_path,threads,microseconds
videos/small_video.mp4,1,580224|539306|580407
videos/small_video.mp4,2,562804|553471|632046
videos/small_video.mp4,3,658377|617897|631181
videos/small_video.mp4,4,631859|602541|589855
videos/small_video.mp4,5,578028|607725|575909
videos/small_video.mp4,6,572606|578902|604273
videos/small_video.mp4,7,594214|594979|609335
videos/small_video.mp4,8,679041|711230|659821
videos/small_video.mp4,9,641846|570855|651966
videos/small_video.mp4,10,685279|646181|694434
videos/small_video.mp4,11,661583|686311|738081
videos/small_video.mp4,12,763556|712625|617814
videos/small_video.mp4,13,606660|637924|686358
videos/small_video.mp4,14,730539|689434|700717
videos/small_video.mp4,15,637587|681110|672930
videos/small_video.mp4,16,640166|713623|681616
videos/small_video.mp4,17,703204|716649|703739
videos/small_video.mp4,18,613853|690268|755820
videos/small_video.mp4,19,648114|633141|679334
videos/small_video.mp4,20,760108|712067|748591
videos/small_video.mp4,21,668645|730288|726015
videos/small_video.mp4,22,807941|727358|663395
videos/small_video.mp4,23,838621|789556|776641
videos/small_video.mp4,24,770926|666833|681919
videos/small_video.mp4,25,748186|796485|668567
videos/small_video.mp4,26,668593|701789|748305
videos/small_video.mp4,27,765764|684080|851701
videos/small_video.mp4,28,759864|854230|696503
videos/small_video.mp4,29,749840|705400|702389
videos/small_video.mp4,30,663842|815763|657469
videos/small_video.mp4,31,683054|1300465|1150835
videos/small_video.mp4,32,1227399|1169723|1157623
videos/small_video.mp4,33,1584044|1195420|1293399
videos/small_video.mp4,34,1326857|1280233|1203594
videos/large_video.mp4,1,5341487|4630195|4979966
videos/large_video.mp4,2,4804460|4940104|4776233
videos/large_video.mp4,3,4793823|4821831|5027577
videos/large_video.mp4,4,4668264|4896293|5136112
videos/large_video.mp4,5,4749015|4968515|4806319
videos/large_video.mp4,6,4992345|5086503|5244642
videos/large_video.mp4,7,5441912|5094502|5309428
videos/large_video.mp4,8,4963011|5469436|5327550
videos/large_video.mp4,9,5315816|4910449|5057716
videos/large_video.mp4,10,5212626|5259364|5273581
videos/large_video.mp4,11,5202025|5214420|5162943
videos/large_video.mp4,12,5405877|5418806|5038623
videos/large_video.mp4,13,5369746|5445184|5431364
videos/large_video.mp4,14,5451423|5640062|5095486
videos/large_video.mp4,15,5372255|5308579|5451290
videos/large_video.mp4,16,5673494|5851375|5179398
videos/large_video.mp4,17,5526728|5259460|5384392
videos/large_video.mp4,18,5568424|5394517|4991932
videos/large_video.mp4,19,5708291|5520828|5570878
videos/large_video.mp4,20,5632175|5637996|5282758
videos/large_video.mp4,21,5521096|5626770|5529075
videos/large_video.mp4,22,5663297|5810440|5939023
videos/large_video.mp4,23,5897214|5959471|5702198
videos/large_video.mp4,24,5602806|5801263|5749201
videos/large_video.mp4,25,6084889|5569276|5800471
videos/large_video.mp4,26,6039299|6475970|5994146
videos/large_video.mp4,27,6097287|6175036|6164233
videos/large_video.mp4,28,5971227|5901875|6643108
videos/large_video.mp4,29,6274439|6607539|6912672
videos/large_video.mp4,30,7851149|7632193|8537316
videos/large_video.mp4,31,6388908|7320860|7718583
videos/large_video.mp4,32,8053125|7686889|7382681
videos/large_video.mp4,33,8193443|10160685|7895781
videos/large_video.mp4,34,10504629|9085612|7959008
