video_path,threads,microseconds
videos/small_video.mp4,1,4997559|4206931|4182736
videos/small_video.mp4,2,2493098|2413560|2487664
videos/small_video.mp4,3,1546635|1559662|1514500
videos/small_video.mp4,4,1163101|1366303|1157172
videos/small_video.mp4,5,946177|999676|989067
videos/small_video.mp4,6,962284|798485|833685
videos/small_video.mp4,7,739707|729220|731790
videos/small_video.mp4,8,737795|665366|681830
videos/small_video.mp4,9,644842|614664|697006
videos/small_video.mp4,10,671236|753617|683675
videos/small_video.mp4,11,709069|693920|658236
videos/small_video.mp4,12,702149|712408|694463
videos/small_video.mp4,13,716833|657197|697766
videos/small_video.mp4,14,688477|678450|672162
videos/small_video.mp4,15,678592|641132|811918
videos/small_video.mp4,16,691281|670022|707655
videos/small_video.mp4,17,666552|698777|675154
videos/small_video.mp4,18,739306|707097|712710
videos/small_video.mp4,19,734908|753333|729561
videos/small_video.mp4,20,670524|643797|668631
videos/small_video.mp4,21,652634|791511|643176
videos/small_video.mp4,22,681708|735728|739304
videos/small_video.mp4,23,740244|747358|687597
videos/small_video.mp4,24,742566|793703|779341
videos/small_video.mp4,25,688965|694951|677551
videos/small_video.mp4,26,663198|659135|711480
videos/small_video.mp4,27,785868|705089|810223
videos/small_video.mp4,28,763547|773088|760276
videos/small_video.mp4,29,831116|808236|706460
videos/small_video.mp4,30,645546|816083|770647
videos/small_video.mp4,31,701757|669739|645789
videos/small_video.mp4,32,694301|725539|832663
videos/small_video.mp4,33,778337|793975|763794
videos/small_video.mp4,34,732163|745289|656189
videos/large_video.mp4,1,38538427|38692235|38581884
videos/large_video.mp4,2,19762905|19628505|19541186
videos/large_video.mp4,3,13740984|13239933|13700677
videos/large_video.mp4,4,10455363|10408121|11162381
videos/large_video.mp4,5,8856266|8683358|8289507
videos/large_video.mp4,6,7382570|7302235|7856891
videos/large_video.mp4,7,6730630|6507164|6086573
videos/large_video.mp4,8,5914707|6026232|6129079
videos/large_video.mp4,9,5446863|5850644|5727279
videos/large_video.mp4,10,5140570|5372365|5227824
videos/large_video.mp4,11,5484853|5267453|5625932
videos/large_video.mp4,12,5272111|5101515|5726839
videos/large_video.mp4,13,5277959|5288805|5241780
videos/large_video.mp4,14,5360660|5139299|5249640
videos/large_video.mp4,15,5392052|5218383|5057527
videos/large_video.mp4,16,5247625|5185777|5291010
videos/large_video.mp4,17,5539861|5543499|5176178
videos/large_video.mp4,18,5464769|5567755|5444033
videos/large_video.mp4,19,5294615|5371787|5218768
videos/large_video.mp4,20,5370858|5401342|5509015
videos/large_video.mp4,21,5603878|5473988|5514063
videos/large_video.mp4,22,5438392|5332074|5346301
videos/large_video.mp4,23,5541946|5227144|5218353
videos/large_video.mp4,24,5456251|5420117|5524084
videos/large_video.mp4,25,5278252|5429379|5148453
videos/large_video.mp4,26,5384749|5380460|5418803
videos/large_video.mp4,27,5501641|5282716|5395178
videos/large_video.mp4,28,5555325|5346341|5563575
videos/large_video.mp4,29,5398687|5427674|5447334
videos/large_video.mp4,30,5354915|5602799|5050549
videos/large_video.mp4,31,5393017|5273009|5513208
videos/large_video.mp4,32,5476163|5577140|5524578
videos/large_video.mp4,33,5325159|5688689|5376689
videos/large_video.mp4,34,5629648|5615277|5492827
