video_path,threads,microseconds
videos/small_video.mp4,1,4482982|5996854|4488659
videos/small_video.mp4,2,4088867|4099625|4067447
videos/small_video.mp4,3,2733850|2719948|2730731
videos/small_video.mp4,4,2045477|2033454|2062103
videos/small_video.mp4,5,1659077|1668379|1668988
videos/small_video.mp4,6,1402274|1412311|1396525
videos/small_video.mp4,7,1206154|1230122|1232268
videos/small_video.mp4,8,1073692|1094968|1090078
videos/small_video.mp4,9,989375|964700|962470
videos/small_video.mp4,10,871996|885681|887383
videos/small_video.mp4,11,802460|803716|803292
videos/small_video.mp4,12,771678|758872|748082
videos/small_video.mp4,13,730553|694993|726467
videos/small_video.mp4,14,661201|654265|664038
videos/small_video.mp4,15,657640|719210|646246
videos/small_video.mp4,16,744948|778087|716116
videos/small_video.mp4,17,754828|645028|745602
videos/small_video.mp4,18,629706|643463|615639
videos/small_video.mp4,19,650585|711713|658815
videos/small_video.mp4,20,763469|715745|763143
videos/small_video.mp4,21,774772|636889|799103
videos/small_video.mp4,22,683679|645227|718568
videos/small_video.mp4,23,673826|740328|666008
videos/small_video.mp4,24,731546|763758|747705
videos/small_video.mp4,25,754536|696979|745328
videos/small_video.mp4,26,757629|697865|724100
videos/small_video.mp4,27,680959|829220|688978
videos/small_video.mp4,28,757259|753820|769379
videos/small_video.mp4,29,813195|716389|750955
videos/small_video.mp4,30,770636|862370|790751
videos/small_video.mp4,31,1447577|1455853|1473285
videos/small_video.mp4,32,1459957|1417389|1452096
videos/small_video.mp4,33,1477682|1478669|1400206
videos/small_video.mp4,34,1453368|1522124|1571851
videos/large_video.mp4,1,54179179|40897180|54320879
videos/large_video.mp4,2,27244219|27539718|27384422
videos/large_video.mp4,3,24496061|24959849|24634039
videos/large_video.mp4,4,18519759|18399980|18434020
videos/large_video.mp4,5,14949474|14845146|14840272
videos/large_video.mp4,6,12584523|12325175|12336970
videos/large_video.mp4,7,10863181|10614647|10770027
videos/large_video.mp4,8,9424227|9502641|9476128
videos/large_video.mp4,9,8456625|8382520|8367710
videos/large_video.mp4,10,7650504|7652608|7659364
videos/large_video.mp4,11,7012280|6911916|6926215
videos/large_video.mp4,12,6502441|6506960|6430435
videos/large_video.mp4,13,6058279|6143480|5985139
videos/large_video.mp4,14,5688603|5752115|5723721
videos/large_video.mp4,15,5817158|5224448|5825942
videos/large_video.mp4,16,5118078|5313942|5141729
videos/large_video.mp4,17,4954568|5769561|5138019
videos/large_video.mp4,18,5763210|5984347|5845124
videos/large_video.mp4,19,5892377|5072336|5765902
videos/large_video.mp4,20,5155133|5131841|5418603
videos/large_video.mp4,21,5112251|5857044|5157005
videos/large_video.mp4,22,5803758|5813561|5832647
videos/large_video.mp4,23,6043145|5551328|5849831
videos/large_video.mp4,24,5740175|5895391|5893128
videos/large_video.mp4,25,5990680|6345286|5664075
videos/large_video.mp4,26,6230710|5895951|5862776
videos/large_video.mp4,27,6192960|6630749|6243081
videos/large_video.mp4,28,6729387|6319058|6563020
videos/large_video.mp4,29,6654159|7233839|7115203
videos/large_video.mp4,30,7482818|7752951|7557475
videos/large_video.mp4,31,12087849|11954920|11987233
videos/large_video.mp4,32,11610453|12277936|11621984
videos/large_video.mp4,33,11694258|12063396|11872005
videos/large_video.mp4,34,12082770|12103726|12582701
